Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
23:27:24:57.611,61,0.0000000000,0.0000000000,0.1456079781,0.0000000000,0.0422087088,0.1525608748,0.2872784734,0.0000000000,0.0000000000,0.0000000000,0.0263529196,0.0424986072,0.1526292562,0.2873112559,0.0109497476,0.0146993045,0.0000000000,0.0365487114,0.0451153852,0.0158231650,0.0508774593,0.0130271483,0.0000000000,0.0258595720,0.0436407961,0.0000000000,0.0000000000,0.0173089802,0.0166231897,0.0448436365,0.0412657000,0.0321822427,0.0159288086,0.0671049356,0.0422637351,0.0226236545,0.0229932293,0.0401368886,0.0366985947,0.0138645070,0.0138102509,0.0000000000,0.0000000000,0.1585799754,0.1050757393,0.1052985862,0.0111867962,0.0692482665,0.0745386109,0.0554211363,0.0547034480,0.0000001090,0.0035261384,-0.0974866077,-0.0053518405,0.0160953160,-0.0185459163,-0.0002985237,0.0889317319,-0.0184901003,-0.0016423760
23:27:24:58.611,61,0.0000000000,0.0000000000,0.1586620957,0.0000000000,0.0467490144,0.1528063565,0.2865228355,0.0000000000,0.0000000000,0.0000000000,0.0396034941,0.0470831245,0.1528719813,0.2865554988,0.0109515386,0.0146737481,0.0000000000,0.0365066528,0.0450860523,0.0158996917,0.0509967692,0.0130750965,0.0000000000,0.0257347021,0.0433602333,0.0000000000,0.0000000000,0.0172720477,0.0165865719,0.0448765047,0.0413016900,0.0321879275,0.0158994626,0.0672587901,0.0423706807,0.0226574168,0.0230267476,0.0400836207,0.0366376936,0.0138946874,0.0138310362,0.0000000000,0.0000000000,0.1595591456,0.1041230708,0.1043362617,0.0112035833,0.0693727806,0.0745791867,0.0554329827,0.0546794161,0.0000000801,0.0032338249,-0.0974224582,-0.0055072964,0.0241872948,-0.0205499008,-0.0004970679,0.0969009325,-0.0204942599,-0.0019830817
23:27:24:59.610,61,0.0000000000,0.0000000000,0.1459788978,0.0000000000,0.0437647030,0.1528447419,0.2856842577,0.0000000000,0.0000000000,0.0000000000,0.0266002305,0.0440613851,0.1529071182,0.2857130170,0.0108701317,0.0146434978,0.0000000000,0.0362841785,0.0448285192,0.0158075280,0.0509466827,0.0130283451,0.0000000000,0.0258805174,0.0434611998,0.0000000000,0.0000000000,0.0171702802,0.0164930038,0.0446503460,0.0411095731,0.0319977626,0.0157798938,0.0673278645,0.0425145477,0.0226021949,0.0229731128,0.0397956595,0.0363773070,0.0139029417,0.0138338236,0.0000000000,0.0000000000,0.1442655176,0.0828871205,0.0830555707,0.0111384476,0.0692901388,0.0744208395,0.0553673729,0.0546001494,0.0000000971,0.0033235466,-0.0962501168,-0.0058910027,0.0162461549,-0.0192279406,-0.0003124049,0.0891571343,-0.0191721097,-0.0017072745
23:27:25:00.610,61,0.0000000000,0.0000000000,0.1477639675,0.0000000000,0.0487248003,0.1528223753,0.2854133844,0.0000000000,0.0000000000,0.0000000000,0.0284794290,0.0490440093,0.1528808326,0.2854396701,0.0107720243,0.0145907812,0.0000000000,0.0360782929,0.0445822179,0.0156830903,0.0507973023,0.0129749477,0.0000000000,0.0261651240,0.0436423048,0.0000000000,0.0000000000,0.0170795862,0.0164141450,0.0444193669,0.0409264080,0.0318014957,0.0156409405,0.0674398839,0.0427237004,0.0225473586,0.0229146108,0.0394983403,0.0361067466,0.0139211835,0.0138424765,0.0000000000,0.0000000000,0.1360248625,0.0770839974,0.0772404820,0.0110436128,0.0692236722,0.0742625967,0.0554803275,0.0547238290,0.0000001014,0.0028293596,-0.0945440903,-0.0052994788,0.0173931085,-0.0214027204,-0.0003722979,0.0902434289,-0.0213470832,-0.0019241100
23:27:25:01.609,61,0.0000000000,0.0000000000,0.1489389688,0.0000000000,0.0483552516,0.1532390267,0.2863494456,0.0000000000,0.0000000000,0.0000000000,0.0295841657,0.0486757047,0.1532939225,0.2863707840,0.0107367523,0.0145398751,0.0000000000,0.0360643454,0.0445640981,0.0156005947,0.0508467443,0.0128847519,0.0000000000,0.0261314083,0.0434839390,0.0000000000,0.0000000000,0.0170226172,0.0163658019,0.0442922004,0.0408392958,0.0317232981,0.0155671621,0.0674998164,0.0428273678,0.0224826895,0.0228452738,0.0394016355,0.0360143185,0.0139313322,0.0138455788,0.0000000000,0.0000000000,0.1347473860,0.0829353482,0.0831109583,0.0109574283,0.0693100840,0.0742395893,0.0555944517,0.0548348613,0.0000000466,0.0026168099,-0.0918544307,-0.0043812422,0.0180678628,-0.0212422498,-0.0003838389,0.0909613371,-0.0211865567,-0.0019247868
23:27:25:02.609,61,0.0000000000,0.0000000000,0.1281453818,0.0000000000,0.0499216467,0.1536219418,0.2864639461,0.0000000000,0.0000000000,0.0000000000,0.0084966822,0.0502019450,0.1536754817,0.2864843905,0.0107436925,0.0145624289,0.0000000000,0.0361352339,0.0446562022,0.0156600140,0.0509821586,0.0128033292,0.0000000000,0.0258714464,0.0432983115,0.0000000000,0.0000000000,0.0170053598,0.0163553376,0.0443297066,0.0408853963,0.0317472406,0.0155641651,0.0675758123,0.0428801216,0.0224939417,0.0228525661,0.0394260138,0.0360458307,0.0139501030,0.0138661414,0.0000000000,0.0000000000,0.1408859342,0.0924703106,0.0926113501,0.0109611992,0.0694210678,0.0743505061,0.0556712747,0.0549232587,0.0000000526,0.0023806572,-0.0906838030,-0.0040026456,0.0051890826,-0.0219050255,-0.0001136847,0.0782609582,-0.0218493100,-0.0017084734
23:27:25:03.608,61,0.0000000000,0.0000000000,0.1282787025,0.0000000000,0.0454740375,0.1540040076,0.2819581926,0.0000000000,0.0000000000,0.0000000000,0.0086669596,0.0457412861,0.1540569514,0.2819879651,0.0107683996,0.0146404495,0.0000000000,0.0361653008,0.0447200313,0.0157561675,0.0510545671,0.0128572583,0.0000000000,0.0259865765,0.0433570966,0.0000000000,0.0000000000,0.0170376599,0.0163889937,0.0444633141,0.0409912467,0.0318267345,0.0155578293,0.0678210780,0.0430276208,0.0225763842,0.0229296573,0.0395685099,0.0361702628,0.0140118860,0.0139204049,0.0000000000,0.0000000000,0.1454323679,0.0972496718,0.0974063203,0.0109799402,0.0695937425,0.0745036155,0.0558274686,0.0550823063,0.0000000395,0.0024029959,-0.0912758783,-0.0031249521,0.0052932906,-0.0199586786,-0.0001056606,0.0783455372,-0.0199028496,-0.0015579093
23:27:25:04.608,61,0.0000000000,0.0000000000,0.1346899718,0.0000000000,0.0451444983,0.1548049003,0.2769214213,0.0000000000,0.0000000000,0.0000000000,0.0152572403,0.0454235524,0.1548556685,0.2769637704,0.0107976422,0.0147381555,0.0000000000,0.0361448079,0.0447380170,0.0158760864,0.0510873720,0.0129553787,0.0000000000,0.0264781974,0.0436690636,0.0000000000,0.0000000000,0.0171061400,0.0164547544,0.0446566828,0.0411487482,0.0319527648,0.0155504234,0.0681617707,0.0432419889,0.0227071494,0.0230529588,0.0397556424,0.0363219529,0.0141081512,0.0139986156,0.0000000000,0.0000000000,0.1498419791,0.0999576673,0.1001422778,0.0110070929,0.0699440092,0.0747896433,0.0560422949,0.0552711822,0.0000000317,0.0024399250,-0.0940334350,-0.0040754466,0.0093182875,-0.0198206231,-0.0001847158,0.0822614357,-0.0197648462,-0.0016242615
23:27:25:05.608,61,0.0000000000,0.0000000000,0.1658063829,0.0000000000,0.0399063937,0.1553587914,0.2750358284,0.0000000000,0.0000000000,0.0000000000,0.0469658338,0.0402231887,0.1554097235,0.2750864327,0.0108737294,0.0149206398,0.0000000000,0.0362192243,0.0448600501,0.0160108656,0.0512429513,0.0130741773,0.0000000000,0.0268650036,0.0438041873,0.0000000000,0.0000000000,0.0172161832,0.0165595822,0.0449408665,0.0413793884,0.0322122909,0.0155871212,0.0685531050,0.0434496999,0.0228395965,0.0231728982,0.0401072204,0.0366124026,0.0142049780,0.0140783153,0.0000000000,0.0000000000,0.1675057858,0.1094064936,0.1097112671,0.0110351741,0.0702310354,0.0749799460,0.0561743118,0.0553833582,0.0000000371,0.0011514932,-0.0961909145,-0.0054273447,0.0286853760,-0.0175579023,-0.0005036377,0.1012699455,-0.0175021291,-0.0017695904
23:27:25:06.608,61,0.0000000000,0.0000000000,0.1344932169,0.0000000000,0.0448053405,0.1551334411,0.2721067369,0.0000000000,0.0000000000,0.0000000000,0.0151418373,0.0450827815,0.1551887244,0.2721669078,0.0108775012,0.0151783759,0.0000000000,0.0362369940,0.0448382311,0.0159506742,0.0511388108,0.0131334830,0.0000000000,0.0272569768,0.0441173576,0.0000000000,0.0000000000,0.0173397586,0.0166752636,0.0449998863,0.0413909666,0.0322982445,0.0156425592,0.0685283244,0.0433987118,0.0228352286,0.0231608227,0.0402107760,0.0366828330,0.0141546633,0.0140312640,0.0000000000,0.0000000000,0.1647249311,0.1107478440,0.1110391915,0.0109890848,0.0699439347,0.0746886656,0.0558217354,0.0550683625,0.0000000290,0.0000140815,-0.0983805507,-0.0076267845,0.0092478339,-0.0196719151,-0.0001819435,0.0821415111,-0.0196161680,-0.0016096951
